10083,23/07/1959,Vishv,Zockler,M,31/03/1987
11081,20/06/1952,Barry,Boyle,M,17/06/1985
11610,17/07/1962,Eirik,Sidhu,M,18/10/1985
10864,21367,Elliott,Spieker,F,31146
11080,27/12/1956,Sanjai,Puppe,M,32240
11978,24/08/1964,Aran,Khalid,F,32789
10225,13/02/1957,Kellie,Chinen,F,19/06/1986
11114,20310,Tse,Felcyn,M,14/10/1989
10523,16/05/1956,Malu,Skafidas,M,28/12/1988
11758,27/01/1958,Jinpo,Gerlach,M,34038
10380,25/05/1956,Alejandro,Kamble,F,19/03/1985
10087,23/07/1959,Xinglin,Eugenio,F,31633
10779,22531,Mori,Yavatkar,F,32448
11990,24/11/1964,Chanjung,Matheson,M,32272
11520,21186,Pranas,Jervis,F,20/11/1991
10460,19/02/1963,Shushma,VanScheik,M,34341
11296,24/12/1954,Hironobu,Kenevan,M,26/09/1989
10623,19670,Aleksander,Danlos,F,31961
10164,19/01/1956,Jagoda,Braunmuhl,M,31392
10746,29/12/1958,Kolar,Usery,F,31/08/1990
10888,15/03/1959,Kwangho,Dredge,F,28/06/1987
10167,23/05/1958,Duangkaew,Rassart,M,33698
10120,26/03/1960,Armond,Fairtlough,F,35223
11390,22/03/1962,Masali,Ambroszkiewicz,M,19/12/1990
11055,20736,Shaleah,Neiman,M,25/05/1995
11113,28/04/1953,Shahab,Peng,F,30/11/1985
10466,25/12/1954,Jiakeng,Himler,M,29/09/1985
11698,21827,Arun,Azevdeo,M,28/06/1991
11224,21895,Hugo,Mitzlaff,F,32147
10927,13/03/1953,Gal,Scallan,M,26/10/1985
10963,15/04/1957,Hatsukazu,Swist,M,14/01/1988
11886,26/12/1957,Snehasis,Veevers,M,34375
11588,20/07/1952,Kaijung,Panangaden,X,13/10/1986
11755,16/08/1954,Zhenbing,Karner,F,33005
10472,20/08/1959,Salvador,Lodder,M,29/07/1996
11653,23167,Mohammed,Ananiadou,F,26/02/1993
11514,17/08/1963,Georgy,Iwayama,M,30/07/1988
10540,24/02/1961,Martins,Barriga,M,34398
11129,17/08/1964,Goncalo,Pulkowski,M,26/10/1993
11225,25/04/1963,Maria,Schicker,M,33186
11529,22709,Heejo,Langford,M,32236
10084,25/05/1960,Tuval,Kalloufi,M,15/12/1995
10483,13/03/1957,Zhiwei,Anick,M,33827
11159,28/05/1960,Becky,Schlenzig,F,31/08/1986
11598,23564,Sariel,Ertl,M,34369
11716,24/01/1962,Anneli,Leijenhorst,F,17/04/1986
11175,30/06/1963,Aksel,Rajaraman,M,15/03/1991
11721,22/02/1961,Xuejun,Heydon,F,30/11/1990
10213,24/05/1964,Jackson,Kakkad,M,33766
11047,21857,Heping,Gluchowski,F,19/07/1995
10230,20402,Clyde,Vernadat,M,16/06/1996
10904,28/08/1959,Debatosh,Colorni,F,16/04/1993
10082,23263,Parviz,Lortz,M,32933
10853,22/03/1964,Yoshinari,Kalloufi,F,34033
10303,22594,Marlo,Zschoche,M,32995
10729,24/05/1961,Percy,Lorho,F,20/04/1986
11042,13/07/1955,Gou,Breugel,F,26/06/1988
10239,31/03/1955,Nikolaos,Llado,X,34916
10069,22076,Margareta,Bierman,F,32639
10793,27/08/1960,Oksana,Roisin,F,31818
10891,15/12/1963,Susanne,Jiang,F,33066
10030,14/07/1958,Elvis,Demeyer,M,17/02/1994
11999,17/09/1961,Apostol,Rabehasaina,F,16/01/1986
11947,27/10/1957,Kiyomitsu,Lortz,X,24/10/1995
11871,19395,Nalini,Sommen,M,23/01/1988
10501,22898,Susuma,Larfeldt,M,20/04/1987
11036,22745,Muzhong,Greenaway,M,31817
11990,24/11/1964,Chanjung,Matheson,M,32272
11734,28/07/1963,Ramya,Baezner,F,30/04/1990
11565,23051,Yoshinari,Sankaranarayanan,M,32204
11229,20/10/1953,Gretta,Ramamoorthy,M,26/07/1991
10781,19/09/1958,Patricio,Leuchs,M,33330
11187,20856,Koldo,Makinen,M,31087
11539,17/12/1957,Yechiam,Zaumen,M,15/05/1993
10596,24/01/1954,Sanjit,Coors,M,34703
10619,27/04/1961,Vivian,Kusakabe,M,24/03/1989
10624,19/12/1955,Sham,Gyorkos,F,33059
11259,13/01/1960,Amalendu,Gronowski,X,26/12/1986
10922,27/10/1953,Kyoichi,Wossner,M,33855
